latitude,longitude,level
-23.667346,-46.736292,3
-23.667659,-46.737187,3
-23.667932,-46.737854,3
,,
-23.652657,-46.68815,3
-23.652776,-46.688314,3
-23.653037,-46.688674,3
-23.653287,-46.689019,3
-23.65356,-46.689539,3
-23.653621,-46.68959,3
-23.653683,-46.689692,3
-23.65374,-46.689783,3
-23.653791,-46.689866,3
-23.653925,-46.690084,3
-23.654295,-46.690686,3
-23.654541,-46.691086,3
-23.654727,-46.69139,3
-23.654822,-46.691546,3
-23.655099,-46.691985,3
-23.655224,-46.692193,3
-23.655436,-46.692532,3
-23.65559,-46.692789,3
-23.655765,-46.693077,3
-23.656152,-46.693742,3
,,
-23.682196,-46.63641,3
-23.681742,-46.637196,3
-23.681668,-46.637318,3
-23.681446,-46.637686,3
-23.681288,-46.637948,3
-23.681142,-46.638188,3
-23.681143,-46.638189,3
-23.680867,-46.638625,3
-23.680651,-46.638874,3
-23.680507,-46.639022,3
-23.680261,-46.639246,3
-23.679533,-46.639859,3
-23.679317,-46.64005,3
-23.679316,-46.64005,3
-23.678324,-46.64088,3
-23.678018,-46.641108,3
-23.677828,-46.641225,3
,,
-23.751233,-46.688253,3
-23.750743,-46.68825,3
-23.750565,-46.688214,3
-23.750397,-46.688152,3
-23.750227,-46.688055,3
-23.75009,-46.687973,3
-23.749854,-46.687833,3
-23.749697,-46.687739,3
-23.749599,-46.687689,3
-23.749294,-46.687551,3
-23.748993,-46.687478,3
-23.74877,-46.687509,3
-23.748567,-46.687531,3
-23.748008,-46.687626,3
-23.747181,-46.68778,3
-23.746917,-46.687884,3
-23.74647,-46.688194,3
-23.74626,-46.688346,3
-23.746225,-46.688382,3
-23.746105,-46.688508,3
-23.745755,-46.688905,3
-23.745738,-46.688926,3
-23.745299,-46.689484,3
-23.74494,-46.689951,3
-23.74491,-46.689989,3
-23.744692,-46.690264,3
-23.744292,-46.690695,3
-23.744076,-46.690924,3
-23.744015,-46.690985,3
-23.743995,-46.691006,3
-23.74363,-46.691376,3
-23.743615,-46.691392,3
-23.743565,-46.691442,3
-23.743307,-46.691629,3
-23.743078,-46.691746,3
-23.742479,-46.691936,3
-23.742132,-46.691912,3
-23.741984,-46.691887,3
-23.740924,-46.69152,3
-23.740475,-46.691462,3
-23.740149,-46.691434,3
-23.739967,-46.691468,3
-23.7394,-46.691578,3
-23.739177,-46.691628,3
-23.738701,-46.691776,3
-23.738609,-46.69182,3
-23.738512,-46.691888,3
-23.738372,-46.692027,3
-23.738184,-46.692231,3
-23.737317,-46.693203,3
-23.737318,-46.693203,3
-23.736956,-46.693618,3
-23.736355,-46.694277,3
-23.736041,-46.694627,3
-23.735318,-46.695436,3
,,
-23.674365,-46.642766,3
-23.674038,-46.642964,3
-23.67366,-46.643235,3
-23.673279,-46.64356,3
-23.673171,-46.643669,3
-23.672878,-46.644001,3
-23.672503,-46.644536,3
-23.671989,-46.645236,3
,,
-23.654866,-46.706841,3
-23.654615,-46.707232,3
-23.654458,-46.707465,3
-23.653945,-46.707545,3
-23.653483,-46.707617,3
-23.653142,-46.70767,3
-23.652136,-46.707845,3
,,
-23.659095,-46.765802,3
-23.65897,-46.765611,3
-23.658918,-46.765531,3
-23.658753,-46.76529,3
-23.658549,-46.765069,3
-23.657879,-46.764495,3
-23.657277,-46.763998,3
-23.65711,-46.763849,3
-23.656935,-46.763668,3
-23.65651,-46.763144,3
-23.656339,-46.762886,3
-23.656147,-46.762508,3
,,
-23.652447,-46.701795,3
-23.653103,-46.701724,3
-23.653418,-46.701697,3
-23.654188,-46.701668,3
-23.65436,-46.701684,3
-23.654946,-46.701639,3
-23.655097,-46.701583,3
-23.655587,-46.701459,3
-23.656263,-46.701247,3
